index,Date,Student_ID,Student_Name,Course,Course_Code,Instructor,Department,Attendance
0,2023-01-01,ST17,Student_17,Biology,BIOL401,Prof. Brown,Biology,S
1,2023-01-01,ST12,Student_12,Biology,BIOL401,Prof. Brown,Biology,S
2,2023-01-01,ST29,Student_29,Biology,BIOL401,Prof. Brown,Biology,P
3,2023-01-01,ST8,Student_8,Biology,BIOL401,Prof. Brown,Biology,A
4,2023-01-01,ST15,Student_15,Biology,BIOL401,Prof. Brown,Biology,P
5,2023-01-01,ST23,Student_23,Biology,BIOL401,Prof. Brown,Biology,D
6,2023-01-01,ST24,Student_24,Biology,BIOL401,Prof. Brown,Biology,D
7,2023-01-01,ST26,Student_26,Biology,BIOL401,Prof. Brown,Biology,P
8,2023-01-01,ST20,Student_20,Biology,BIOL401,Prof. Brown,Biology,O
9,2023-01-01,ST22,Student_22,Biology,BIOL401,Prof. Brown,Biology,D
10,2023-01-01,ST7,Student_7,Biology,BIOL401,Prof. Brown,Biology,O
11,2023-01-01,ST3,Student_3,Biology,BIOL401,Prof. Brown,Biology,O
12,2023-01-01,ST2,Student_2,Biology,BIOL401,Prof. Brown,Biology,S
13,2023-01-01,ST19,Student_19,Biology,BIOL401,Prof. Brown,Biology,A
14,2023-01-01,ST5,Student_5,Biology,BIOL401,Prof. Brown,Biology,A
15,2023-01-01,ST25,Student_25,Biology,BIOL401,Prof. Brown,Biology,OD
16,2023-01-01,ST6,Student_6,Biology,BIOL401,Prof. Brown,Biology,S
17,2023-01-01,ST13,Student_13,Biology,BIOL401,Prof. Brown,Biology,P
18,2023-01-01,ST16,Student_16,Biology,BIOL401,Prof. Brown,Biology,P
19,2023-01-01,ST14,Student_14,Biology,BIOL401,Prof. Brown,Biology,D
20,2023-01-01,ST27,Student_27,Biology,BIOL401,Prof. Brown,Biology,P
21,2023-01-01,ST18,Student_18,Biology,BIOL401,Prof. Brown,Biology,S
22,2023-01-01,ST30,Student_30,Biology,BIOL401,Prof. Brown,Biology,OD
23,2023-01-01,ST4,Student_4,Biology,BIOL401,Prof. Brown,Biology,OD
24,2023-01-01,ST21,Student_21,Biology,BIOL401,Prof. Brown,Biology,P
25,2023-01-01,ST9,Student_9,Biology,BIOL401,Prof. Brown,Biology,O
26,2023-01-01,ST11,Student_11,Biology,BIOL401,Prof. Brown,Biology,OD
27,2023-01-01,ST1,Student_1,Biology,BIOL401,Prof. Brown,Biology,O
28,2023-01-01,ST28,Student_28,Biology,BIOL401,Prof. Brown,Biology,O
29,2023-01-02,ST2,Student_2,Biology,BIOL401,Prof. Brown,Biology,P
30,2023-01-02,ST4,Student_4,Biology,BIOL401,Prof. Brown,Biology,P
31,2023-01-02,ST30,Student_30,Biology,BIOL401,Prof. Brown,Biology,P
32,2023-01-02,ST8,Student_8,Biology,BIOL401,Prof. Brown,Biology,S
33,2023-01-02,ST26,Student_26,Biology,BIOL401,Prof. Brown,Biology,S
34,2023-01-02,ST19,Student_19,Biology,BIOL401,Prof. Brown,Biology,P
35,2023-01-02,ST17,Student_17,Biology,BIOL401,Prof. Brown,Biology,OD
36,2023-01-02,ST14,Student_14,Biology,BIOL401,Prof. Brown,Biology,A
37,2023-01-02,ST28,Student_28,Biology,BIOL401,Prof. Brown,Biology,OD
38,2023-01-02,ST12,Student_12,Biology,BIOL401,Prof. Brown,Biology,OD
39,2023-01-02,ST3,Student_3,Biology,BIOL401,Prof. Brown,Biology,A
40,2023-01-02,ST7,Student_7,Biology,BIOL401,Prof. Brown,Biology,A
41,2023-01-02,ST11,Student_11,Biology,BIOL401,Prof. Brown,Biology,D
42,2023-01-02,ST13,Student_13,Biology,BIOL401,Prof. Brown,Biology,P
43,2023-01-02,ST9,Student_9,Biology,BIOL401,Prof. Brown,Biology,A
44,2023-01-02,ST15,Student_15,Biology,BIOL401,Prof. Brown,Biology,A
45,2023-01-02,ST18,Student_18,Biology,BIOL401,Prof. Brown,Biology,OD
46,2023-01-02,ST20,Student_20,Biology,BIOL401,Prof. Brown,Biology,D
47,2023-01-02,ST23,Student_23,Biology,BIOL401,Prof. Brown,Biology,P
48,2023-01-02,ST10,Student_10,Biology,BIOL401,Prof. Brown,Biology,O
49,2023-01-02,ST1,Student_1,Biology,BIOL401,Prof. Brown,Biology,S
50,2023-01-02,ST6,Student_6,Biology,BIOL401,Prof. Brown,Biology,D
51,2023-01-02,ST29,Student_29,Biology,BIOL401,Prof. Brown,Biology,S
52,2023-01-02,ST16,Student_16,Biology,BIOL401,Prof. Brown,Biology,D
53,2023-01-02,ST24,Student_24,Biology,BIOL401,Prof. Brown,Biology,D
54,2023-01-02,ST5,Student_5,Biology,BIOL401,Prof. Brown,Biology,OD
55,2023-01-02,ST27,Student_27,Biology,BIOL401,Prof. Brown,Biology,O
