index,Date,Day,Student_ID,Student_Name,Course,Course_Code,Instructor,Department,Attendance
0,2023-01-02,Monday,ST5,Student_5,Physics,PHYS201,Prof. Johnson,Physics,O
1,2023-01-02,Monday,ST17,Student_17,Physics,PHYS201,Prof. Johnson,Physics,A
2,2023-01-02,Monday,ST14,Student_14,Physics,PHYS201,Prof. Johnson,Physics,OD
3,2023-01-02,Monday,ST18,Student_18,Physics,PHYS201,Prof. Johnson,Physics,D
4,2023-01-02,Monday,ST29,Student_29,Physics,PHYS201,Prof. Johnson,Physics,S
5,2023-01-02,Monday,ST1,Student_1,Physics,PHYS201,Prof. Johnson,Physics,O
6,2023-01-02,Monday,ST27,Student_27,Physics,PHYS201,Prof. Johnson,Physics,OD
7,2023-01-02,Monday,ST21,Student_21,Physics,PHYS201,Prof. Johnson,Physics,S
8,2023-01-02,Monday,ST2,Student_2,Physics,PHYS201,Prof. Johnson,Physics,OD
9,2023-01-02,Monday,ST11,Student_11,Physics,PHYS201,Prof. Johnson,Physics,A
10,2023-01-02,Monday,ST10,Student_10,Physics,PHYS201,Prof. Johnson,Physics,P
11,2023-01-02,Monday,ST16,Student_16,Physics,PHYS201,Prof. Johnson,Physics,S
12,2023-01-02,Monday,ST15,Student_15,Physics,PHYS201,Prof. Johnson,Physics,A
13,2023-01-02,Monday,ST4,Student_4,Physics,PHYS201,Prof. Johnson,Physics,O
14,2023-01-02,Monday,ST8,Student_8,Physics,PHYS201,Prof. Johnson,Physics,P
15,2023-01-02,Monday,ST13,Student_13,Physics,PHYS201,Prof. Johnson,Physics,OD
16,2023-01-02,Monday,ST30,Student_30,Physics,PHYS201,Prof. Johnson,Physics,OD
17,2023-01-02,Monday,ST28,Student_28,Physics,PHYS201,Prof. Johnson,Physics,D
18,2023-01-02,Monday,ST9,Student_9,Physics,PHYS201,Prof. Johnson,Physics,OD
19,2023-01-02,Monday,ST19,Student_19,Physics,PHYS201,Prof. Johnson,Physics,D
20,2023-01-02,Monday,ST23,Student_23,Physics,PHYS201,Prof. Johnson,Physics,A
21,2023-01-02,Monday,ST20,Student_20,Physics,PHYS201,Prof. Johnson,Physics,S
22,2023-01-02,Monday,ST24,Student_24,Physics,PHYS201,Prof. Johnson,Physics,D
23,2023-01-02,Monday,ST26,Student_26,Physics,PHYS201,Prof. Johnson,Physics,A
24,2023-01-03,Tuesday,ST4,Student_4,Physics,PHYS201,Prof. Johnson,Physics,D
25,2023-01-03,Tuesday,ST30,Student_30,Physics,PHYS201,Prof. Johnson,Physics,OD
26,2023-01-03,Tuesday,ST14,Student_14,Physics,PHYS201,Prof. Johnson,Physics,P
