index,Date,Student_ID,Student_Name,Course,Course_Code,Instructor,Department,Attendance
0,2023-01-01,ST1,Student_1,Chemistry,CHEM501,Dr. Davis,Chemistry,P
1,2023-01-01,ST2,Student_2,Chemistry,CHEM501,Dr. Davis,Chemistry,A
2,2023-01-01,ST3,Student_3,Chemistry,CHEM501,Dr. Davis,Chemistry,P
3,2023-01-01,ST4,Student_4,Chemistry,CHEM501,Dr. Davis,Chemistry,D
4,2023-01-01,ST5,Student_5,Chemistry,CHEM501,Dr. Davis,Chemistry,A
5,2023-01-01,ST6,Student_6,Chemistry,CHEM501,Dr. Davis,Chemistry,OD
6,2023-01-01,ST7,Student_7,Chemistry,CHEM501,Dr. Davis,Chemistry,O
7,2023-01-01,ST8,Student_8,Chemistry,CHEM501,Dr. Davis,Chemistry,A
8,2023-01-01,ST9,Student_9,Chemistry,CHEM501,Dr. Davis,Chemistry,S
9,2023-01-01,ST10,Student_10,Chemistry,CHEM501,Dr. Davis,Chemistry,P
10,2023-01-01,ST11,Student_11,Chemistry,CHEM501,Dr. Davis,Chemistry,S
11,2023-01-01,ST12,Student_12,Chemistry,CHEM501,Dr. Davis,Chemistry,A
12,2023-01-01,ST13,Student_13,Chemistry,CHEM501,Dr. Davis,Chemistry,O
13,2023-01-01,ST14,Student_14,Chemistry,CHEM501,Dr. Davis,Chemistry,A
14,2023-01-01,ST15,Student_15,Chemistry,CHEM501,Dr. Davis,Chemistry,D
15,2023-01-01,ST16,Student_16,Chemistry,CHEM501,Dr. Davis,Chemistry,D
16,2023-01-01,ST17,Student_17,Chemistry,CHEM501,Dr. Davis,Chemistry,A
17,2023-01-01,ST18,Student_18,Chemistry,CHEM501,Dr. Davis,Chemistry,OD
18,2023-01-01,ST19,Student_19,Chemistry,CHEM501,Dr. Davis,Chemistry,O
19,2023-01-01,ST20,Student_20,Chemistry,CHEM501,Dr. Davis,Chemistry,S
20,2023-01-01,ST21,Student_21,Chemistry,CHEM501,Dr. Davis,Chemistry,D
21,2023-01-01,ST22,Student_22,Chemistry,CHEM501,Dr. Davis,Chemistry,P
22,2023-01-01,ST23,Student_23,Chemistry,CHEM501,Dr. Davis,Chemistry,P
23,2023-01-01,ST24,Student_24,Chemistry,CHEM501,Dr. Davis,Chemistry,A
24,2023-01-01,ST25,Student_25,Chemistry,CHEM501,Dr. Davis,Chemistry,D
25,2023-01-01,ST26,Student_26,Chemistry,CHEM501,Dr. Davis,Chemistry,A
26,2023-01-01,ST27,Student_27,Chemistry,CHEM501,Dr. Davis,Chemistry,D
27,2023-01-01,ST28,Student_28,Chemistry,CHEM501,Dr. Davis,Chemistry,OD
28,2023-01-01,ST29,Student_29,Chemistry,CHEM501,Dr. Davis,Chemistry,OD
29,2023-01-01,ST30,Student_30,Chemistry,CHEM501,Dr. Davis,Chemistry,S
30,2023-01-02,ST1,Student_1,Biology,BIOL401,Prof. Brown,Biology,D
31,2023-01-02,ST2,Student_2,Biology,BIOL401,Prof. Brown,Biology,OD
32,2023-01-02,ST3,Student_3,Biology,BIOL401,Prof. Brown,Biology,S
33,2023-01-02,ST4,Student_4,Biology,BIOL401,Prof. Brown,Biology,OD
34,2023-01-02,ST5,Student_5,Biology,BIOL401,Prof. Brown,Biology,P
35,2023-01-02,ST6,Student_6,Biology,BIOL401,Prof. Brown,Biology,O
36,2023-01-02,ST7,Student_7,Biology,BIOL401,Prof. Brown,Biology,D
37,2023-01-02,ST8,Student_8,Biology,BIOL401,Prof. Brown,Biology,OD
38,2023-01-02,ST9,Student_9,Biology,BIOL401,Prof. Brown,Biology,A
39,2023-01-02,ST10,Student_10,Biology,BIOL401,Prof. Brown,Biology,S
40,2023-01-02,ST11,Student_11,Biology,BIOL401,Prof. Brown,Biology,P
41,2023-01-02,ST12,Student_12,Biology,BIOL401,Prof. Brown,Biology,O
42,2023-01-02,ST13,Student_13,Biology,BIOL401,Prof. Brown,Biology,D
43,2023-01-02,ST14,Student_14,Biology,BIOL401,Prof. Brown,Biology,D
44,2023-01-02,ST15,Student_15,Biology,BIOL401,Prof. Brown,Biology,S
45,2023-01-02,ST16,Student_16,Biology,BIOL401,Prof. Brown,Biology,D
46,2023-01-02,ST17,Student_17,Biology,BIOL401,Prof. Brown,Biology,P
47,2023-01-02,ST18,Student_18,Biology,BIOL401,Prof. Brown,Biology,D
48,2023-01-02,ST19,Student_19,Biology,BIOL401,Prof. Brown,Biology,A
49,2023-01-02,ST20,Student_20,Biology,BIOL401,Prof. Brown,Biology,S
50,2023-01-02,ST21,Student_21,Biology,BIOL401,Prof. Brown,Biology,P
51,2023-01-02,ST22,Student_22,Biology,BIOL401,Prof. Brown,Biology,O
52,2023-01-02,ST23,Student_23,Biology,BIOL401,Prof. Brown,Biology,P
53,2023-01-02,ST24,Student_24,Biology,BIOL401,Prof. Brown,Biology,D
54,2023-01-02,ST25,Student_25,Biology,BIOL401,Prof. Brown,Biology,A
55,2023-01-02,ST26,Student_26,Biology,BIOL401,Prof. Brown,Biology,P
56,2023-01-02,ST27,Student_27,Biology,BIOL401,Prof. Brown,Biology,O
57,2023-01-02,ST28,Student_28,Biology,BIOL401,Prof. Brown,Biology,D
58,2023-01-02,ST29,Student_29,Biology,BIOL401,Prof. Brown,Biology,O
